1409	-3.0
1410	-1.5
1411	0.0
1412	-2.0
1413	-2.5
1414	1.0
1415	1.0
1416	-1.0
1417	-3.0
1418	-1.5
1419	0.0
1420	0.5
1421	0.5
1422	1.5
1423	-2.0
1424	-1.0
1425	2.0
1426	2.0
1427	0.5
1428	0.5
1429	1.5
1430	1.5
1431	-1.0
1432	-1.0
1433	1.5
1434	3.0
1435	0.5
1436	-0.5
1437	-1.5
1438	2.0
1439	1.0
1440	1.5
1441	-0.5
1442	-1.0
1443	-1.0
1444	-0.5
1445	0.5
1446	0.0
1447	-1.0
1448	2.0
1449	0.0
1450	-2.0
1451	1.0
1452	-1.0
1453	0.0
1454	0.5
1455	-2.5
1456	0.5
1457	-3.5
1458	-2.0
1459	0.0
1460	-0.5
1461	1.0
1462	2.5
1463	2.0
1464	-1.5
1465	2.0
1466	-2.0
1467	-1.0
1468	-0.5
1469	1.0
1470	0.0
1471	-2.5
1472	0.5
1473	-2.5
1474	-2.0
1475	0.0
1476	-2.5
1477	1.5
1478	-2.0
1479	-1.0
1480	-1.0
1481	-1.5
1482	-2.5
1483	-1.5
1484	0.5
1485	1.5
1486	2.0
1487	-0.5
1488	0.0
1489	-0.5
1490	2.0
1491	-1.0
1492	-1.0
1493	-2.0
1494	-0.5
1495	1.0
1496	1.0
1497	1.5
1498	-1.0
1499	0.0
1500	-3.0
1501	-1.5
1502	1.0
1503	1.0
1504	0.5
1505	0.0
1506	-1.0
1507	-1.5
1508	-2.5
1509	0.0
1510	0.5
1511	1.5
1512	-1.5
1513	0.0
1514	-1.5
1515	-4.0
1516	1.0
1517	1.5
1518	1.0
1519	-1.0
1520	-1.0
1521	0.5
1522	-0.5
1523	1.5
1524	1.5
1525	-0.5
1526	0.5
1527	-2.0
1528	-3.5
1529	-2.0
1530	-1.5
1531	-2.0
1532	-1.5
1533	2.0
1534	0.0
1535	-1.0
1536	2.0
1537	1.5
1538	0.0
1539	2.0
1540	1.5
1541	1.0
1542	2.0
1543	1.0
1544	-1.5
1545	-1.0
1546	-1.0
1547	-3.5
1548	-2.0
1549	0.5
1550	-2.0
1551	-1.5
1552	-0.5
1553	0.0
1554	2.0
1555	0.0
1556	0.5
1557	0.5
1558	-1.0
1559	0.5
1560	-0.5
1561	1.0
1562	-1.0
1563	-2.5
1564	-2.0
1565	-2.0
1566	-1.5
1567	-1.0
1568	-1.5
1569	-1.0
1570	-0.5
1571	-1.0
1572	-3.5
1573	-2.5
1574	-2.0
1575	-1.5
1576	0.5
1577	2.0
1578	1.5
1579	0.5
1580	0.0
1581	1.0
1582	0.0
1583	0.5
1584	2.5
1585	1.5
1586	-2.5
1587	-1.0
1588	-0.5
1589	-1.5
1590	0.0
1591	-0.5
1592	-0.5
1593	1.5
1594	0.5
1595	-0.5
1596	-2.5
1597	-2.0
1598	-2.0
1599	-1.5
1600	0.5
1601	2.0
1602	3.5
1603	-0.5
1604	-1.0
1605	-1.0
1606	0.0
1607	0.0
1608	-2.5
1609	-1.0
